t_sec,error_m,nearest_idx,x_amcl,y_amcl
18.422,0.053183,715,-5.500575,6.494284
18.542,0.022472,718,-5.256084,6.218389
18.659,0.044188,719,-5.176069,6.125789
18.761,0.013185,728,-4.564539,5.536016
18.880,0.053510,733,-4.186730,5.215608
18.980,0.080370,738,-3.814961,4.884900
19.084,0.170057,746,-3.338269,4.411099
19.201,0.159367,751,-2.977989,4.067479
19.320,0.147898,755,-2.620488,3.728040
19.425,0.184214,761,-2.224535,3.277764
19.537,0.226855,766,-1.952562,2.938996
19.671,0.238615,767,-1.868319,2.836747
19.779,0.291779,777,-1.395958,2.279271
19.879,0.190377,779,-1.192242,2.052458
19.997,0.066384,782,-0.974393,1.841764
20.098,0.051092,784,-0.794263,1.641546
20.198,0.056990,787,-0.628865,1.463806
20.307,0.079292,789,-0.456137,1.262577
20.407,0.090726,791,-0.356463,1.133813
20.508,0.116824,792,-0.277454,1.024119
20.707,0.126198,793,-0.228871,0.957066
20.816,0.141898,796,-0.147983,0.837219
21.411,0.109992,796,-0.116583,0.796325
