# x[m],y[m]
25.341992,-10.936355
25.291992,-10.886355
25.241992,-10.836355
25.191992,-10.836355
25.141992,-10.786355
25.091992,-10.786355
25.041992,-10.786355
24.991992,-10.786355
24.941992,-10.736355
24.891992,-10.686355
24.841992,-10.636355
24.791992,-10.586355
24.741992,-10.536355
24.691992,-10.536355
24.641992,-10.486355
24.591992,-10.436355
24.541992,-10.436355
24.491992,-10.436355
24.441992,-10.436355
24.391992,-10.436355
24.341992,-10.436355
24.291992,-10.436355
24.241992,-10.436355
24.191992,-10.436355
24.141992,-10.436355
24.091992,-10.436355
24.041992,-10.436355
23.991992,-10.386355
23.941992,-10.386355
23.891992,-10.386355
23.841992,-10.386355
23.791992,-10.386355
23.741992,-10.386355
23.691992,-10.386355
23.641992,-10.386355
23.591992,-10.386355
23.541992,-10.386355
23.491992,-10.386355
23.441992,-10.386355
23.391992,-10.386355
23.341992,-10.386355
23.291992,-10.386355
23.241992,-10.386355
23.191992,-10.386355
23.141992,-10.386355
23.091992,-10.386355
23.041992,-10.386355
22.991992,-10.386355
22.941992,-10.386355
22.891992,-10.386355
22.841992,-10.386355
22.791992,-10.386355
22.741992,-10.386355
22.691992,-10.386355
22.641992,-10.386355
22.591992,-10.386355
22.541992,-10.386355
22.491992,-10.386355
22.441992,-10.386355
22.391992,-10.386355
22.341992,-10.386355
22.291992,-10.386355
22.241992,-10.386355
22.191992,-10.386355
22.141992,-10.386355
22.091992,-10.386355
22.041992,-10.386355
21.991992,-10.386355
21.941992,-10.386355
21.891992,-10.386355
21.841992,-10.386355
21.791992,-10.386355
21.741992,-10.386355
21.691992,-10.386355
21.641992,-10.386355
21.591992,-10.386355
21.541992,-10.386355
21.491992,-10.386355
21.441992,-10.386355
21.391992,-10.386355
21.341992,-10.386355
21.291992,-10.386355
21.241992,-10.386355
21.191992,-10.386355
21.141992,-10.386355
21.091992,-10.386355
21.041992,-10.386355
20.991992,-10.386355
20.941992,-10.386355
20.891992,-10.386355
20.841992,-10.386355
20.791992,-10.386355
20.741992,-10.386355
20.691992,-10.386355
20.641992,-10.386355
20.591992,-10.386355
20.541992,-10.386355
20.491992,-10.386355
20.441992,-10.386355
20.391992,-10.386355
20.341992,-10.386355
20.291992,-10.386355
20.241992,-10.386355
20.191992,-10.386355
20.141992,-10.386355
20.091992,-10.386355
20.041992,-10.386355
19.991992,-10.386355
19.941992,-10.386355
19.891992,-10.386355
19.841992,-10.386355
19.791992,-10.386355
19.741992,-10.386355
19.691992,-10.386355
19.641992,-10.386355
19.591992,-10.386355
19.541992,-10.386355
19.491992,-10.386355
19.441992,-10.386355
19.391992,-10.386355
19.341992,-10.386355
19.291992,-10.386355
19.241992,-10.386355
19.191992,-10.386355
19.141992,-10.386355
19.091992,-10.386355
19.041992,-10.386355
18.991992,-10.386355
18.941992,-10.386355
18.891992,-10.386355
18.841992,-10.386355
18.791992,-10.386355
18.741992,-10.386355
18.691992,-10.386355
18.641992,-10.386355
18.591992,-10.386355
18.541992,-10.386355
18.491992,-10.386355
18.441992,-10.386355
18.391992,-10.386355
18.341992,-10.386355
18.291992,-10.386355
18.241992,-10.386355
18.191992,-10.386355
18.141992,-10.386355
18.091992,-10.386355
18.041992,-10.386355
17.991992,-10.386355
17.941992,-10.386355
17.891992,-10.386355
17.841992,-10.386355
17.791992,-10.386355
17.741992,-10.386355
17.691992,-10.386355
17.641992,-10.386355
17.591992,-10.386355
17.541992,-10.386355
17.491992,-10.386355
17.441992,-10.386355
17.391992,-10.386355
17.341992,-10.386355
17.291992,-10.386355
17.241992,-10.386355
17.191992,-10.386355
17.141992,-10.386355
17.091992,-10.386355
17.041992,-10.386355
